,time,user_name,viewer_count
114,2021-12-03T17:14:28.093143,sinatraa,9402
115,2021-12-03T17:14:28.093143,Shaunz,8960
116,2021-12-03T17:14:28.093143,SilverName,8249
117,2021-12-03T17:14:28.093143,풍월량,7626
118,2021-12-03T17:14:28.093143,NeVeR_LosEs,7597
119,2021-12-03T17:14:28.093143,김도,7558
120,2021-12-03T17:14:39.150192,Dota2RuHub,36319
121,2021-12-03T17:14:39.150192,Trainwreckstv,21182
122,2021-12-03T17:14:39.150192,FPSThailand,16704
123,2021-12-03T17:14:39.150192,stylishnoob4,15228
124,2021-12-03T17:14:39.150192,RiotGames_Korea,14226
125,2021-12-03T17:14:39.150192,BeyondTheSummit,12707
126,2021-12-03T17:14:39.150192,fps_shaka,11909
127,2021-12-03T17:14:39.150192,DreadzTV,11648
128,2021-12-03T17:14:39.150192,zackrawrr,11510
129,2021-12-03T17:14:39.150192,chowh1,11202
130,2021-12-03T17:14:39.150192,Fextralife,10918
131,2021-12-03T17:14:39.150192,Amouranth,10258
132,2021-12-03T17:14:39.150192,Yogscast,9764
133,2021-12-03T17:14:39.150192,Ponce,9679
134,2021-12-03T17:14:39.150192,sinatraa,9402
135,2021-12-03T17:14:39.150192,Shaunz,8960
136,2021-12-03T17:14:39.150192,SilverName,8249
137,2021-12-03T17:14:39.150192,풍월량,7626
138,2021-12-03T17:14:39.150192,NeVeR_LosEs,7597
139,2021-12-03T17:14:39.150192,김도,7558
140,2021-12-03T17:14:47.053639,Dota2RuHub,36319
141,2021-12-03T17:14:47.053639,Trainwreckstv,21182
142,2021-12-03T17:14:47.053639,FPSThailand,16704
143,2021-12-03T17:14:47.053639,stylishnoob4,16113
144,2021-12-03T17:14:47.053639,RiotGames_Korea,14599
145,2021-12-03T17:14:47.053639,BeyondTheSummit,12707
146,2021-12-03T17:14:47.053639,fps_shaka,12041
147,2021-12-03T17:14:47.053639,DreadzTV,11648
148,2021-12-03T17:14:47.053639,zackrawrr,11510
149,2021-12-03T17:14:47.053639,chowh1,11202
150,2021-12-03T17:14:47.053639,Fextralife,10918
151,2021-12-03T17:14:47.053639,Amouranth,10258
152,2021-12-03T17:14:47.053639,Yogscast,9764
153,2021-12-03T17:14:47.053639,Ponce,9679
154,2021-12-03T17:14:47.053639,sinatraa,9402
155,2021-12-03T17:14:47.053639,Shaunz,9131
156,2021-12-03T17:14:47.053639,SilverName,8249
157,2021-12-03T17:14:47.053639,풍월량,7626
158,2021-12-03T17:14:47.053639,NeVeR_LosEs,7597
159,2021-12-03T17:14:47.053639,김도,7558
160,2021-12-03T17:15:03.661533,Dota2RuHub,36319
161,2021-12-03T17:15:03.661533,Trainwreckstv,21182
162,2021-12-03T17:15:03.661533,FPSThailand,16704
163,2021-12-03T17:15:03.661533,stylishnoob4,16113
164,2021-12-03T17:15:03.661533,RiotGames_Korea,14599
165,2021-12-03T17:15:03.661533,BeyondTheSummit,12707
166,2021-12-03T17:15:03.661533,fps_shaka,12041
167,2021-12-03T17:15:03.661533,DreadzTV,11648
168,2021-12-03T17:15:03.661533,zackrawrr,11510
169,2021-12-03T17:15:03.661533,chowh1,11202
170,2021-12-03T17:15:03.661533,Fextralife,10918
171,2021-12-03T17:15:03.661533,Amouranth,10258
172,2021-12-03T17:15:03.661533,Yogscast,9764
173,2021-12-03T17:15:03.661533,Ponce,9679
174,2021-12-03T17:15:03.661533,sinatraa,9402
175,2021-12-03T17:15:03.661533,Shaunz,9131
176,2021-12-03T17:15:03.661533,SilverName,8249
177,2021-12-03T17:15:03.661533,풍월량,7626
178,2021-12-03T17:15:03.661533,NeVeR_LosEs,7597
179,2021-12-03T17:15:03.661533,김도,7558
180,2021-12-03T17:15:15.077843,Dota2RuHub,36319
181,2021-12-03T17:15:15.077843,Trainwreckstv,21182
182,2021-12-03T17:15:15.077843,FPSThailand,16704
183,2021-12-03T17:15:15.077843,stylishnoob4,16113
184,2021-12-03T17:15:15.077843,RiotGames_Korea,14599
185,2021-12-03T17:15:15.077843,BeyondTheSummit,12707
186,2021-12-03T17:15:15.077843,fps_shaka,12041
187,2021-12-03T17:15:15.077843,DreadzTV,11648
188,2021-12-03T17:15:15.077843,zackrawrr,11510
189,2021-12-03T17:15:15.077843,chowh1,11202
190,2021-12-03T17:15:15.077843,Fextralife,10918
191,2021-12-03T17:15:15.077843,Amouranth,10258
192,2021-12-03T17:15:15.077843,Yogscast,9764
193,2021-12-03T17:15:15.077843,Ponce,9679
194,2021-12-03T17:15:15.077843,sinatraa,9402
195,2021-12-03T17:15:15.077843,Shaunz,9131
196,2021-12-03T17:15:15.077843,SilverName,8249
197,2021-12-03T17:15:15.077843,풍월량,7626
198,2021-12-03T17:15:15.077843,NeVeR_LosEs,7597
199,2021-12-03T17:15:15.077843,김도,7558
200,2021-12-03T17:15:16.431658,Dota2RuHub,36319
201,2021-12-03T17:15:16.431658,Trainwreckstv,21182
202,2021-12-03T17:15:16.431658,FPSThailand,16704
203,2021-12-03T17:15:16.431658,stylishnoob4,16113
204,2021-12-03T17:15:16.431658,RiotGames_Korea,14599
205,2021-12-03T17:15:16.431658,BeyondTheSummit,12707
206,2021-12-03T17:15:16.431658,fps_shaka,12041
207,2021-12-03T17:15:16.431658,DreadzTV,11648
208,2021-12-03T17:15:16.431658,zackrawrr,11510
209,2021-12-03T17:15:16.431658,chowh1,11202
210,2021-12-03T17:15:16.431658,Fextralife,10918
211,2021-12-03T17:15:16.431658,Amouranth,10258
212,2021-12-03T17:15:16.431658,Yogscast,9764
213,2021-12-03T17:15:16.431658,Ponce,9679
214,2021-12-03T17:15:16.431658,sinatraa,9402
215,2021-12-03T17:15:16.431658,Shaunz,9131
216,2021-12-03T17:15:16.431658,SilverName,8249
217,2021-12-03T17:15:16.431658,풍월량,7626
218,2021-12-03T17:15:16.431658,NeVeR_LosEs,7597
219,2021-12-03T17:15:16.431658,김도,7558
220,2021-12-03T17:15:17.899746,Dota2RuHub,36319
221,2021-12-03T17:15:17.899746,Trainwreckstv,21182
222,2021-12-03T17:15:17.899746,FPSThailand,16704
223,2021-12-03T17:15:17.899746,stylishnoob4,16113
224,2021-12-03T17:15:17.899746,RiotGames_Korea,14599
225,2021-12-03T17:15:17.899746,BeyondTheSummit,12707
226,2021-12-03T17:15:17.899746,fps_shaka,12041
227,2021-12-03T17:15:17.899746,DreadzTV,11648
228,2021-12-03T17:15:17.899746,zackrawrr,11510
229,2021-12-03T17:15:17.899746,chowh1,11202
230,2021-12-03T17:15:17.899746,Fextralife,10918
231,2021-12-03T17:15:17.899746,Amouranth,10258
232,2021-12-03T17:15:17.899746,Yogscast,9764
233,2021-12-03T17:15:17.899746,Ponce,9679
234,2021-12-03T17:15:17.899746,sinatraa,9402
235,2021-12-03T17:15:17.899746,Shaunz,9131
236,2021-12-03T17:15:17.899746,SilverName,8249
237,2021-12-03T17:15:17.899746,풍월량,7626
238,2021-12-03T17:15:17.899746,NeVeR_LosEs,7597
239,2021-12-03T17:15:17.899746,김도,7558
